frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,19149.743784,14920.000000
128,23476.132795,14215.000000
16384,49532.691780,26621.000000
16,231001.148926,44369.000000
2048,489223.060011,84618.000000
256,412915.286800,66719.000000
2,8787.188458,4163.000000
32768,153277.511889,37010.000000
32,408303.389653,69632.000000
4096,154339.617947,102738.000000
4,379103.562196,75773.000000
512,32625.728865,24080.000000
64,7192.583124,4066.000000
65536,207474.645490,59779.000000
8192,46580.971383,18319.000000
8,379156.177947,74072.000000
