frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,442422.416168,83568.000000
128,26725.363440,18320.000000
16384,44157.366747,25706.000000
16,498438.124457,271116.000000
2048,625482.209908,74385.000000
256,372176.536908,69667.000000
2,24350.108480,15493.000000
32768,18966.436355,11040.000000
32,213577.836769,42861.000000
4096,23644.938401,14161.000000
4,209943.582005,40610.000000
512,25173.910264,18699.000000
64,9283.302645,4189.000000
65536,486418.777365,86224.000000
8192,280171.703239,77021.000000
8,9235.975206,4582.000000
