frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,299607.242950,60002.000000
128,36316.699905,27141.000000
16384,172703.212943,39905.000000
16,320245.507731,70858.000000
2048,277111.118077,59533.000000
256,274483.180612,51076.000000
2,207939.909505,41637.000000
32768,4871.453992,2028.000000
32,488799.769428,79804.000000
4096,361242.944921,49247.000000
4,202103.743476,51633.000000
512,413622.832114,82209.000000
64,30772.791440,15466.000000
65536,15736.126620,11090.000000
8192,349619.367719,70642.000000
8,432632.275964,89522.000000
