frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,34273.713163,29263.000000
128,41455.166686,28625.000000
16384,125453.451363,8550.000000
16,9276.654408,6868.000000
2048,29186.569377,19578.000000
256,20068.595890,8359.000000
2,238413.991334,52855.000000
32768,71802.769299,27233.000000
32,404772.542268,76540.000000
4096,82882.194300,23907.000000
4,11793.197743,9211.000000
512,225398.641828,60851.000000
64,16075.218194,13885.000000
65536,99019.452554,43163.000000
8192,278890.842707,60846.000000
8,395124.219974,67917.000000
