frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,7489.975901,5253.000000
128,16293.149389,10217.000000
16384,664616.172738,67805.000000
16,232818.630711,49484.000000
2048,357738.637449,70889.000000
256,415406.597454,72865.000000
2,27351.349711,20382.000000
32768,23969.782561,6501.000000
32,397320.805822,91687.000000
4096,36298.024629,33322.000000
4,473694.330380,84031.000000
512,484462.994605,86600.000000
64,442277.722929,135118.000000
65536,504973.683655,77817.000000
8192,41998.423589,21846.000000
8,14049.564370,13034.000000
