frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,352449.390676,67992.000000
128,23009.057803,17750.000000
16384,815528.462692,76427.000000
16,265747.443440,55867.000000
2048,397751.427886,58617.000000
256,10460.373177,3730.000000
2,439222.074621,83634.000000
32768,314694.123050,75691.000000
32,402740.573448,70593.000000
4096,162665.186899,126690.000000
4,426749.223774,97538.000000
512,34647.591561,27359.000000
64,262141.561190,68683.000000
65536,272650.625778,69601.000000
8192,418834.633690,52076.000000
8,23762.350136,20449.000000
