frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_max_flow_time,Dynamic_BAL_njobs100_mode2_max_flow_time,Dynamic_BAL_njobs100_mode3_max_flow_time,Dynamic_BAL_njobs100_mode4_max_flow_time,Dynamic_BAL_njobs100_mode5_max_flow_time,Dynamic_BAL_njobs100_mode6_max_flow_time,Dynamic_BAL_njobs100_mode7_max_flow_time
1024,19323.925817,19149.743784,19149.743784,19149.743784,19323.925817,19149.743784,19149.743784,14255.000000,14920.000000,14920.000000,14920.000000,14255.000000,14920.000000,14920.000000
128,23476.132795,23476.132795,23476.132795,23476.132795,23476.132795,23476.132795,23476.132795,14215.000000,14215.000000,14215.000000,14215.000000,14215.000000,14215.000000,14215.000000
16384,49532.691780,49532.691780,49532.691780,49532.691780,49532.691780,49532.691780,49532.691780,26621.000000,26621.000000,26621.000000,26621.000000,26621.000000,26621.000000,26621.000000
16,231001.148926,231001.148926,231001.148926,231001.148926,231001.148926,231001.148926,231001.148926,44369.000000,44369.000000,44369.000000,44369.000000,44369.000000,44369.000000,44369.000000
2048,489223.060011,489223.060011,489223.060011,489223.060011,489223.060011,489223.060011,489223.060011,84618.000000,84618.000000,84618.000000,84618.000000,84618.000000,84618.000000,84618.000000
256,412915.286800,412915.286800,412915.286800,412915.286800,412915.286800,412915.286800,412915.286800,66719.000000,66719.000000,66719.000000,66719.000000,66719.000000,66719.000000,66719.000000
2,8879.016162,8878.819178,8787.188458,8879.016162,8879.016162,8787.188458,8787.188458,4163.000000,4163.000000,4163.000000,4163.000000,4163.000000,4163.000000,4163.000000
32768,153277.511889,153277.511889,153277.511889,153277.511889,153277.511889,153277.511889,153277.511889,37010.000000,37010.000000,37010.000000,37010.000000,37010.000000,37010.000000,37010.000000
32,408303.389653,408303.389653,408303.389653,408303.389653,408303.389653,408303.389653,408303.389653,69632.000000,69632.000000,69632.000000,69632.000000,69632.000000,69632.000000,69632.000000
4096,154339.617947,154339.617947,154339.617947,154339.617947,154339.617947,154339.617947,154339.617947,102738.000000,102738.000000,102738.000000,102738.000000,102738.000000,102738.000000,102738.000000
4,379103.562196,379103.562196,379103.562196,379103.562196,379103.562196,379103.562196,379103.562196,75773.000000,75773.000000,75773.000000,75773.000000,75773.000000,75773.000000,75773.000000
512,32625.728865,32625.728865,32625.728865,32625.728865,32625.728865,32625.728865,32625.728865,24080.000000,24080.000000,24080.000000,24080.000000,24080.000000,24080.000000,24080.000000
64,7405.704761,7192.583124,7192.583124,7405.704761,7405.704761,7192.583124,7192.583124,4066.000000,4066.000000,4066.000000,4066.000000,4066.000000,4066.000000,4066.000000
65536,207474.645490,207474.645490,207474.645490,207474.645490,207474.645490,207474.645490,207474.645490,59779.000000,59779.000000,59779.000000,59779.000000,59779.000000,59779.000000,59779.000000
8192,43831.149107,43842.615547,45290.066207,43975.999113,43831.149107,46450.078310,43987.427795,17777.000000,17777.000000,14261.000000,18319.000000,17777.000000,14261.000000,18319.000000
8,379156.177947,379156.177947,379156.177947,379156.177947,379156.177947,379156.177947,379156.177947,74072.000000,74072.000000,74072.000000,74072.000000,74072.000000,74072.000000,74072.000000
