arrival_rate,bp_L,bp_H,FCFS_percentage,RMLF_percentage,total_rounds
24.00,60.00,12,100.00,0.00,99
22.00,9.80,32768,2.04,97.96,98
20.00,60.00,12,100.00,0.00,98
36.00,60.00,12,100.00,0.00,100
40.00,60.00,18,100.00,0.00,100
40.00,56.30,64,100.00,0.00,100
28.00,60.00,12,100.00,0.00,99
36.00,12.40,4096,1.00,99.00,100
38.00,60.00,18,100.00,0.00,100
30.00,8.50,262144,1.00,99.00,100
30.00,56.30,64,100.00,0.00,99
32.00,8.50,262144,2.13,97.87,47
22.00,8.50,262144,1.00,99.00,100
24.00,8.50,262144,2.00,98.00,100
22.00,60.00,12,100.00,0.00,99
32.00,60.00,24,100.00,0.00,99
20.00,9.80,32768,1.03,98.97,97
26.00,60.00,24,100.00,0.00,99
36.00,56.30,64,100.00,0.00,100
22.00,60.00,24,100.00,0.00,99
32.00,60.00,18,100.00,0.00,100
36.00,18.90,512,34.00,66.00,100
30.00,60.00,18,100.00,0.00,99
34.00,8.50,262144,2.00,98.00,100
26.00,60.00,18,100.00,0.00,99
32.00,60.00,12,100.00,0.00,99
20.00,60.00,24,100.00,0.00,99
22.00,18.90,512,35.35,64.65,99
32.00,12.40,4096,1.02,98.98,98
36.00,60.00,24,100.00,0.00,100
38.00,60.00,24,100.00,0.00,100
26.00,12.40,4096,3.06,96.94,98
30.00,60.00,12,100.00,0.00,99
36.00,9.80,32768,2.27,97.73,88
20.00,12.40,4096,3.06,96.94,98
32.00,56.30,64,100.00,0.00,100
40.00,18.90,512,41.00,59.00,100
24.00,56.30,64,100.00,0.00,99
38.00,56.30,64,100.00,0.00,100
30.00,18.90,512,50.00,50.00,100
38.00,18.90,512,40.00,60.00,100
30.00,12.40,4096,1.00,99.00,100
28.00,18.90,512,50.51,49.49,99
22.00,60.00,18,100.00,0.00,99
26.00,56.30,64,100.00,0.00,99
34.00,18.90,512,52.53,47.47,99
38.00,8.50,262144,1.00,99.00,100
28.00,12.40,4096,1.01,98.99,99
24.00,60.00,24,100.00,0.00,99
40.00,60.00,12,100.00,0.00,100
38.00,12.40,4096,2.02,97.98,99
28.00,56.30,64,100.00,0.00,99
36.00,8.50,262144,2.02,97.98,99
28.00,60.00,18,100.00,0.00,99
20.00,18.90,512,33.67,66.33,98
32.00,9.80,32768,1.00,99.00,100
32.00,18.90,512,37.00,63.00,100
34.00,12.40,4096,2.00,98.00,100
28.00,60.00,24,100.00,0.00,99
26.00,8.50,262144,1.01,98.99,99
26.00,9.80,32768,1.05,98.95,95
24.00,60.00,18,100.00,0.00,99
30.00,60.00,24,100.00,0.00,100
26.00,60.00,12,100.00,0.00,99
28.00,8.50,262144,3.00,97.00,100
34.00,60.00,24,100.00,0.00,100
40.00,8.50,262144,1.00,99.00,100
26.00,18.90,512,33.33,66.67,99
34.00,56.30,64,100.00,0.00,100
38.00,9.80,32768,3.03,96.97,99
22.00,56.30,64,100.00,0.00,99
30.00,9.80,32768,1.00,99.00,100
24.00,12.40,4096,3.00,97.00,100
38.00,60.00,12,100.00,0.00,100
28.00,9.80,32768,1.01,98.99,99
34.00,60.00,18,100.00,0.00,100
24.00,18.90,512,38.38,61.62,99
20.00,60.00,18,100.00,0.00,99
40.00,9.80,32768,1.00,99.00,100
24.00,9.80,32768,1.01,98.99,99
34.00,9.80,32768,2.04,97.96,98
34.00,60.00,12,100.00,0.00,100
36.00,60.00,18,100.00,0.00,100
40.00,60.00,24,100.00,0.00,100
20.00,56.30,64,100.00,0.00,98
20.00,8.50,262144,1.03,98.97,97
22.00,12.40,4096,1.01,98.99,99
40.00,12.40,4096,4.00,96.00,100
