frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,330546.469859,6305.000000,3050.479634
4,809969.581956,13171.000000,20746.435260
8,703475.257357,12296.000000,7981.805685
16,534479.066144,10196.000000,15192.549194
32,649227.906572,12117.000000,36163.667665
64,693603.944827,12996.000000,21535.747096
128,1313748.188299,23751.000000,61251.348908
256,1145292.563447,19849.000000,83897.841689
512,1402819.889630,22019.000000,69938.256705
1024,1040807.927107,20138.000000,206754.254123
2048,1278778.101027,23163.000000,104056.283828
4096,1265144.014112,23306.000000,114288.172000
8192,1829916.738003,30430.000000,568937.736915
16384,1828465.824866,28966.000000,802698.190765
32768,239131.793225,10814.000000,207552.062370
65536,882766.373452,24206.000000,858362.334964
