frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,589265.301401,8458.000000,6407.920880
4,654371.180708,11024.000000,21486.822357
8,645537.581684,10568.000000,4396.877756
16,587215.855712,8785.000000,23317.000193
32,947604.478642,17044.000000,45456.019777
64,868817.819696,13721.000000,4002.173534
128,837597.556330,14522.000000,38344.157769
256,1524407.362346,25400.000000,134905.362147
512,744226.136916,13024.000000,12807.783649
1024,1535194.152471,25752.000000,9703.568158
2048,1326121.166777,20584.000000,151167.585074
4096,1652707.552059,29155.000000,126530.842133
8192,805091.054671,16667.000000,387467.848498
16384,632644.314458,17731.000000,116437.936086
32768,1643985.022633,37508.000000,1362687.629711
65536,1366021.341691,24844.000000,530689.949415
