frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,318073.182779,5782.000000,12441.380591
4,308618.265388,6223.000000,6483.174377
8,246032.892063,3892.000000,7857.677392
16,1154981.825751,17496.000000,25573.502830
32,672267.473365,10879.000000,7075.791758
64,1036996.700979,15703.000000,20884.011253
128,1236604.347124,18902.000000,88769.784206
256,798729.664281,15467.000000,82835.351385
512,788061.291919,15964.000000,87887.803773
1024,913397.680942,15546.000000,50169.037782
2048,1116305.449855,21303.000000,388591.121387
4096,1506434.232990,25609.000000,285587.915341
8192,1215178.626927,22143.000000,461650.652678
16384,3070517.849867,42593.000000,540042.674439
32768,514561.349869,10698.000000,207149.883905
65536,1093879.452678,17363.000000,495769.163182
