frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,345003.217921,7985.000000,20329.176004
4,447463.262845,7060.000000,2671.502012
8,452166.302267,7928.000000,8393.234716
16,338468.619037,6766.000000,3418.568853
32,463942.574054,8286.000000,25845.395238
64,874630.388855,14211.000000,44070.813244
128,1282263.353452,21945.000000,33688.317975
256,1086923.560705,19542.000000,68856.030615
512,735746.957921,12232.000000,95608.903754
1024,1194834.062257,19344.000000,33863.408231
2048,1037881.726388,19076.000000,195111.096906
4096,998963.746356,24362.000000,322505.413362
8192,1009655.709508,16381.000000,323458.309003
16384,582715.947215,15876.000000,93006.103348
32768,887525.839196,21104.000000,146543.082498
65536,4908507.656040,75965.000000,2929368.942693
