frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,364126.346716,6929.000000,10908.876569
4,516744.840125,9360.000000,138.715536
8,532570.746783,10537.000000,721.778359
16,869132.274804,13247.000000,25625.426904
32,1006072.564602,16327.000000,50969.603481
64,1065280.715227,18577.000000,7247.023113
128,1128634.041589,19005.000000,16719.680290
256,1338344.271581,22579.000000,7718.858594
512,1277790.642242,19899.000000,100339.937831
1024,869887.637149,18495.000000,213580.186789
2048,1120300.490531,18228.000000,295705.420989
4096,1512821.576227,28989.000000,56876.901155
8192,1817629.009466,28556.000000,184580.900632
16384,2439527.332771,43950.000000,1366934.728332
32768,537721.874484,11405.000000,176692.979651
65536,1595812.878822,38738.000000,1280765.446106
