arrival_rate,L,FCFS_percentage,RMLF_percentage
20.0,16.772,83.3,16.7
20.0,7.918,33.3,66.7
20.0,5.649,16.7,83.3
20.0,4.639,9.1,90.9
20.0,4.073,0.0,100.0
22.0,16.772,66.7,33.3
22.0,7.918,33.3,66.7
22.0,5.649,20.0,80.0
22.0,4.639,25.0,75.0
22.0,4.073,14.3,85.7
24.0,16.772,66.7,33.3
24.0,7.918,33.3,66.7
24.0,5.649,14.3,85.7
24.0,4.639,75.0,25.0
24.0,4.073,25.0,75.0
26.0,16.772,66.7,33.3
26.0,7.918,80.0,20.0
26.0,5.649,20.0,80.0
26.0,4.639,16.7,83.3
26.0,4.073,20.0,80.0
28.0,16.772,66.7,33.3
28.0,7.918,40.0,60.0
28.0,5.649,33.3,66.7
28.0,4.639,33.3,66.7
28.0,4.073,25.0,75.0
30.0,16.772,83.3,16.7
30.0,7.918,33.3,66.7
30.0,5.649,0.0,100.0
30.0,4.639,20.0,80.0
30.0,4.073,14.3,85.7
32.0,16.772,83.3,16.7
32.0,7.918,66.7,33.3
32.0,5.649,16.7,83.3
32.0,4.639,14.3,85.7
32.0,4.073,16.7,83.3
34.0,16.772,83.3,16.7
34.0,7.918,14.3,85.7
34.0,5.649,42.9,57.1
34.0,4.639,0.0,100.0
34.0,4.073,11.1,88.9
36.0,16.772,57.1,42.9
36.0,7.918,14.3,85.7
36.0,5.649,14.3,85.7
36.0,4.639,57.1,42.9
36.0,4.073,14.3,85.7
38.0,16.772,85.7,14.3
38.0,7.918,14.3,85.7
38.0,5.649,37.5,62.5
38.0,4.639,14.3,85.7
38.0,4.073,42.9,57.1
40.0,16.772,50.0,50.0
40.0,7.918,25.0,75.0
40.0,5.649,12.5,87.5
40.0,4.639,14.3,85.7
40.0,4.073,37.5,62.5
