arrival_rate,L,FCFS_percentage,RMLF_percentage
20.0,16.772,93.3,6.7
20.0,7.918,40.0,60.0
20.0,5.649,12.1,87.9
20.0,4.639,12.5,87.5
20.0,4.073,11.9,88.1
22.0,16.772,93.5,6.5
22.0,7.918,25.4,74.6
22.0,5.649,9.4,90.6
22.0,4.639,2.4,97.6
22.0,4.073,14.1,85.9
24.0,16.772,90.3,9.7
24.0,7.918,30.8,69.2
24.0,5.649,8.1,91.9
24.0,4.639,8.2,91.8
24.0,4.073,6.2,93.8
26.0,16.772,91.7,8.3
26.0,7.918,16.1,83.9
26.0,5.649,5.2,94.8
26.0,4.639,6.7,93.3
26.0,4.073,6.0,94.0
28.0,16.772,93.4,6.6
28.0,7.918,22.0,78.0
28.0,5.649,23.9,76.1
28.0,4.639,10.9,89.1
28.0,4.073,30.9,69.1
30.0,16.772,93.4,6.6
30.0,7.918,29.0,71.0
30.0,5.649,7.5,92.5
30.0,4.639,28.6,71.4
30.0,4.073,10.1,89.9
32.0,16.772,96.9,3.1
32.0,7.918,18.5,81.5
32.0,5.649,6.3,93.7
32.0,4.639,5.3,94.7
32.0,4.073,3.0,97.0
34.0,16.772,84.8,15.2
34.0,7.918,11.4,88.6
34.0,5.649,15.6,84.4
34.0,4.639,3.1,96.9
34.0,4.073,5.4,94.6
36.0,16.772,87.8,12.2
36.0,7.918,15.7,84.3
36.0,5.649,2.9,97.1
36.0,4.639,13.5,86.5
36.0,4.073,18.1,81.9
38.0,16.772,94.5,5.5
38.0,7.918,1.3,98.7
38.0,5.649,18.8,81.2
38.0,4.639,2.5,97.5
38.0,4.073,26.0,74.0
40.0,16.772,96.2,3.8
40.0,7.918,30.0,70.0
40.0,5.649,6.0,94.0
40.0,4.639,15.4,84.6
40.0,4.073,15.7,84.3
