arrival_rate,L,FCFS_percentage,RMLF_percentage
20.0,16.772,90.0,10.0
20.0,7.918,30.0,70.0
20.0,5.649,15.2,84.8
20.0,4.639,12.5,87.5
20.0,4.073,4.8,95.2
22.0,16.772,90.3,9.7
22.0,7.918,35.5,64.5
22.0,5.649,19.2,80.8
22.0,4.639,4.8,95.2
22.0,4.073,14.3,85.7
24.0,16.772,90.3,9.7
24.0,7.918,43.8,56.2
24.0,5.649,18.9,81.1
24.0,4.639,8.3,91.7
24.0,4.073,12.5,87.5
26.0,16.772,90.0,10.0
26.0,7.918,71.4,28.6
26.0,5.649,6.9,93.1
26.0,4.639,6.7,93.3
26.0,4.073,20.0,80.0
28.0,16.772,90.0,10.0
28.0,7.918,24.1,75.9
28.0,5.649,21.2,78.8
28.0,4.639,6.2,93.8
28.0,4.073,40.2,59.8
30.0,16.772,86.7,13.3
30.0,7.918,25.8,74.2
30.0,5.649,3.0,97.0
30.0,4.639,23.1,76.9
30.0,4.073,7.7,92.3
32.0,16.772,90.6,9.4
32.0,7.918,21.9,78.1
32.0,5.649,12.9,87.1
32.0,4.639,5.3,94.7
32.0,4.073,3.0,97.0
34.0,16.772,87.9,12.1
34.0,7.918,14.3,85.7
34.0,5.649,18.4,81.6
34.0,4.639,6.2,93.8
34.0,4.073,28.3,71.7
36.0,16.772,89.2,10.8
36.0,7.918,68.6,31.4
36.0,5.649,5.7,94.3
36.0,4.639,35.1,64.9
36.0,4.073,5.6,94.4
38.0,16.772,86.1,13.9
38.0,7.918,5.1,94.9
38.0,5.649,10.0,90.0
38.0,4.639,35.9,64.1
38.0,4.073,2.6,97.4
40.0,16.772,95.0,5.0
40.0,7.918,42.5,57.5
40.0,5.649,7.1,92.9
40.0,4.639,10.3,89.7
40.0,4.073,31.7,68.3
