frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,382971.578883,24525.000000,0.000000
4,1065977.994663,53214.000000,0.000000
8,1421519.978019,62215.000000,0.000000
16,1522313.534432,53897.000000,0.000000
32,2013493.581920,89932.000000,0.000000
64,1770984.556445,73175.000000,0.000000
128,1923130.974738,75441.000000,0.000000
256,1781143.747242,74334.000000,0.000000
512,3201784.075293,129790.000000,0.000000
1024,2251354.900965,98141.000000,0.000000
2048,2546773.008535,97333.000000,0.000000
4096,2072602.062203,86580.000000,0.000000
8192,2258058.241871,105005.000000,0.000000
16384,1605635.514051,76689.000000,0.000000
32768,5308231.017413,176676.000000,0.000000
65536,6323268.084248,237382.000000,0.000000
