frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,927611.237356,42884.000000,0.000000
4,837856.644921,39955.000000,0.000000
8,1636317.644124,68229.000000,0.000000
16,1949999.384294,89616.000000,0.000000
32,1429192.376697,51799.000000,0.000000
64,597935.250755,28294.000000,0.000000
128,2239681.678641,87100.000000,0.000000
256,2679995.661553,97502.000000,0.000000
512,2561651.165341,98154.000000,0.000000
1024,2342951.791059,92495.000000,0.000000
2048,2139215.448429,73902.000000,0.000000
4096,3091039.850903,107133.000000,0.000000
8192,774070.209002,36794.000000,0.000000
16384,1946522.382760,65656.000000,0.000000
32768,1281904.378344,51613.000000,0.000000
65536,7279841.958358,180063.000000,0.000000
