frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,865358.760564,37522.000000,0.000000
4,946634.104891,39447.000000,0.000000
8,394975.498663,23345.000000,0.000000
16,1738102.506407,69719.000000,0.000000
32,1405232.853498,47411.000000,0.000000
64,2036198.903294,87453.000000,0.000000
128,1998836.815577,76455.000000,0.000000
256,2321256.797540,87239.000000,0.000000
512,1985757.700501,79559.000000,0.000000
1024,2472052.715318,91478.000000,0.000000
2048,2636638.663207,96606.000000,0.000000
4096,3458673.331536,120453.000000,0.000000
8192,3799757.241236,138483.000000,0.000000
16384,2384754.069097,101616.000000,0.000000
32768,3718850.753136,120632.000000,0.000000
65536,3546815.084063,113849.000000,0.000000
