coherence_time,L2_norm_flow_time
2,78655728.847436
4,78788811.923052
8,79748918.5049172
16,79830648.1440487
32,80574535.3329445
64,80876836.363594
128,80962725.9653042
256,81103888.9922573
512,80824015.4156738
1024,80626456.61164859
2048,80688725.6748323
4096,78681622.0662652
8192,77819430.12690559
16384,81147497.0702969
32768,84340845.1028628
65536,90345662.33532539
