coherence_time,L2_norm_flow_time
2,70011838.1552878
4,85027359.6666972
8,95382318.0577075
16,102052465.5785751
32,94895022.2358149
64,79397674.2431379
128,81041928.29469809
256,55853312.7866485
512,77241420.0589647
1024,56722460.5827273
2048,84156560.5137776
4096,31392155.898857303
8192,159517061.8151645
16384,97335525.0805319
32768,67849068.7631045
65536,115920981.28173539
