mean_inter_arrival_time,L2_norm_flow_time
20.0,38281457.39287801
22.0,33600594.28852527
24.0,28748527.590810627
26.0,23509955.1906915
28.0,17032427.98019349
30.0,7126461.883926487
32.0,756070.2944764125
34.0,722286.7257070126
36.0,617499.1730290999
38.0,506708.12029903743
40.0,647211.352024675
