frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,607776.949245,289367.000000,1209.308480
4,310527.433543,215344.000000,2017.762127
8,134566.264101,89791.000000,301.000000
16,646040.901444,280923.000000,3599.957639
32,792219.466646,224380.000000,14633.429742
64,404160.141141,132987.000000,2153.906915
128,620617.762836,204732.000000,9122.310837
256,749936.360711,223767.000000,16511.524097
512,438283.896185,143057.000000,133471.174787
1024,767273.674619,331469.000000,46049.141805
2048,354710.425798,154333.000000,67177.605993
4096,441907.313137,209798.000000,132237.762916
8192,599914.468925,197298.000000,195632.644224
16384,592221.797247,302674.000000,259655.043440
32768,359942.298048,99231.000000,232815.328615
65536,201424.865516,64049.000000,187025.251790
