frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,635972.500655,241539.000000,8106.179988
4,172320.261513,85733.000000,556.976660
8,418182.334836,163731.000000,1824.616672
16,156738.866211,65944.000000,217.972475
32,250499.538449,84726.000000,10009.514624
64,498309.108660,269015.000000,2630.980426
128,741440.679138,299089.000000,316.966875
256,626409.514560,204182.000000,17467.442343
512,484222.328126,230631.000000,40516.982933
1024,652339.248800,216067.000000,119168.057562
2048,510871.082158,152672.000000,83953.543934
4096,567238.590322,200575.000000,55595.856752
8192,552855.982690,143555.000000,158727.619563
16384,376214.026392,138556.000000,189895.444690
32768,451329.313328,120212.000000,76343.939615
65536,1175773.175814,169780.000000,1003280.916083
