frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,246372.448855,129321.000000,211.683726
4,787609.415686,285622.000000,4070.562001
8,408297.519012,138208.000000,1771.154143
16,842064.495118,301197.000000,8294.925316
32,462855.611002,225481.000000,3558.006605
64,241908.358105,93722.000000,6076.517671
128,751004.222335,287888.000000,44013.799700
256,434294.692544,137274.000000,11717.246007
512,503877.343564,157362.000000,30304.465084
1024,627810.626325,188420.000000,90990.575105
2048,959225.538036,274104.000000,133159.159392
4096,798430.664331,267984.000000,129767.003772
8192,363723.715115,139408.000000,70556.969486
16384,1120922.230917,240346.000000,575116.983689
32768,287043.193743,137834.000000,208394.996485
65536,438304.468120,101611.000000,366052.799033
