frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,468845.005509,162684.000000,93328.432436
4,304881.185272,114992.000000,1620.320030
8,332562.398372,190060.000000,207.793166
16,502058.804832,193410.000000,1284.848240
32,583847.804384,260125.000000,9598.387729
64,444752.146105,186180.000000,1687.075873
128,617972.260735,288543.000000,95953.305878
256,811743.766126,251221.000000,34950.494961
512,727920.180321,271074.000000,43974.900045
1024,386955.694367,194405.000000,37779.929182
2048,458023.417535,212678.000000,70500.158702
4096,1099691.893455,244651.000000,204452.772058
8192,206968.581671,53203.000000,9621.251218
16384,500390.588952,120385.000000,293685.269038
32768,461157.246423,121869.000000,298629.433116
65536,1100402.024886,200478.000000,811300.995208
