frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
32,97419.872028,97419.872028,97419.872028,97419.872028,97419.872028,97419.872028
8192,112976.162574,112976.162574,112976.162574,112976.162574,112976.162574,112976.162574
2,108173.948453,108173.948453,108173.948453,108173.948453,108173.948453,108173.948453
4,109528.421430,109528.421430,109528.421430,109528.421430,109528.421430,109528.421430
4096,287715.084764,287715.084764,287715.084764,287715.084764,287715.084764,287715.084764
16384,191232.437369,191031.363650,191031.363650,191031.363650,191232.437369,191031.363650
512,155279.703622,155073.749597,155073.749597,155073.749597,155073.749597,155073.749597
8,205694.562490,205694.562490,205694.562490,205694.562490,205694.562490,205694.562490
1024,184595.597445,184271.693355,184271.693355,184271.693355,184271.693355,184271.693355
128,328600.773382,337707.082042,337707.082042,337707.082042,337707.082042,337707.082042
32768,502871.167341,502871.167341,502871.167341,502871.167341,502871.167341,502871.167341
2048,314753.308032,314753.308032,314753.308032,314753.308032,314753.308032,314753.308032
256,400141.459033,400141.459033,400141.459033,400141.459033,400141.459033,400141.459033
16,394318.557228,394318.557228,394318.557228,394318.557228,394318.557228,394318.557228
65536,297811.932417,297811.932417,297811.932417,297811.932417,297811.932417,297811.932417
64,799724.536768,368237.456118,368237.456118,368237.456118,368237.456118,368237.456118
