frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
4,78682.871516,78682.871516,78682.871516,78682.871516,78682.871516,78682.871516
64,81514.788548,80175.556524,80175.556524,80175.556524,80175.556524,80175.556524
16,102727.163306,102727.163306,102727.163306,102727.163306,102727.163306,102727.163306
8192,142096.896958,135416.338988,135416.338988,135416.338988,135416.338988,135416.338988
2,197413.985662,197413.985662,197413.985662,197413.985662,197413.985662,197413.985662
512,236875.791412,236875.791412,236875.791412,236875.791412,236875.791412,236875.791412
4096,149219.505639,148843.271014,148843.271014,148843.271014,148843.271014,148843.271014
8,168125.783796,168125.783796,168125.783796,168125.783796,168125.783796,168125.783796
32768,328705.974430,328705.974430,328705.974430,328705.974430,328705.974430,328705.974430
1024,332332.590212,292489.671966,292489.671966,292489.671966,292489.671966,292489.671966
256,278404.777536,278404.777536,278404.777536,278404.777536,278404.777536,278404.777536
32,262069.410746,257469.383063,257469.383063,257469.383063,257469.383063,257469.383063
2048,619843.188769,619843.188769,619843.188769,619843.188769,619843.188769,619843.188769
128,528916.181984,528916.181984,528916.181984,528916.181984,528916.181984,528916.181984
16384,544145.964368,544145.964368,544145.964368,544145.964368,544145.964368,544145.964368
65536,371476.936541,371476.936541,371476.936541,371476.936541,371476.936541,371476.936541
