frequency,Dynamic_BAL_njobs50_mode0_L2_norm_flow_time,Dynamic_BAL_njobs50_mode0_maximum_flow_time,Dynamic_BAL_njobs50_mode1_L2_norm_flow_time,Dynamic_BAL_njobs50_mode1_maximum_flow_time,Dynamic_BAL_njobs50_mode2_L2_norm_flow_time,Dynamic_BAL_njobs50_mode2_maximum_flow_time,Dynamic_BAL_njobs50_mode4_L2_norm_flow_time,Dynamic_BAL_njobs50_mode4_maximum_flow_time,Dynamic_BAL_njobs50_mode8_L2_norm_flow_time,Dynamic_BAL_njobs50_mode8_maximum_flow_time,Dynamic_BAL_njobs50_mode16_L2_norm_flow_time,Dynamic_BAL_njobs50_mode16_maximum_flow_time
16384,148251.612608,88973.000000,148257.838140,88973.000000,148253.844358,88973.000000,148251.612608,88973.000000,148251.612608,88973.000000,148251.612608,88973.000000
65536,207316.216085,122018.000000,214427.334242,84563.000000,207316.233807,122018.000000,207316.355136,122018.000000,207316.205917,122018.000000,207316.216085,122018.000000
16,105927.519880,64029.000000,114747.601182,46306.000000,105927.519880,64029.000000,105927.519880,64029.000000,105927.519880,64029.000000,105927.519880,64029.000000
1024,181587.773270,89571.000000,178542.525682,88711.000000,181587.773270,89571.000000,181587.773270,89571.000000,181587.773270,89571.000000,181587.773270,89571.000000
4,110124.972086,51579.000000,110135.092246,51557.000000,110124.972086,51579.000000,110124.972086,51579.000000,110124.972086,51579.000000,110124.972086,51579.000000
2,154843.271297,100756.000000,149685.662129,100756.000000,154843.271297,100756.000000,154843.271297,100756.000000,154843.271297,100756.000000,154843.271297,100756.000000
2048,315236.687373,144345.000000,435848.451601,125073.000000,315236.687373,144345.000000,315236.687373,144345.000000,315236.687373,144345.000000,315236.687373,144345.000000
512,203244.585091,96609.000000,207247.388324,86779.000000,203244.585091,96609.000000,203244.585091,96609.000000,203244.585091,96609.000000,203244.585091,96609.000000
32,249653.341722,185017.000000,249653.810712,185017.000000,249653.341722,185017.000000,249653.341722,185017.000000,249653.341722,185017.000000,249653.341722,185017.000000
4096,547131.914307,235646.000000,562425.060873,215478.000000,547131.914307,235646.000000,547131.914307,235646.000000,547131.914307,235646.000000,547131.914307,235646.000000
256,456847.048187,226988.000000,442430.927219,226988.000000,456847.048187,226988.000000,456847.048187,226988.000000,456847.048187,226988.000000,456847.048187,226988.000000
8,448841.494008,211610.000000,452294.759666,211610.000000,448841.494008,211610.000000,448841.494008,211610.000000,448841.494008,211610.000000,448841.494008,211610.000000
32768,657103.985623,266541.000000,709494.727539,182714.000000,657103.985623,266541.000000,657103.985623,266541.000000,657103.985623,266541.000000,657103.985623,266541.000000
128,413422.505856,257964.000000,880624.823007,185844.000000,853713.928135,224342.000000,413422.505856,257964.000000,413422.505856,257964.000000,413422.505856,257964.000000
64,552051.986564,329379.000000,1559932.227944,242063.000000,552051.986564,329379.000000,552051.986564,329379.000000,552051.986564,329379.000000,552051.986564,329379.000000
8192,865878.015291,314276.000000,1141697.282004,267254.000000,968334.742231,288340.000000,865878.015291,314276.000000,865878.015291,314276.000000,865878.015291,314276.000000
