frequency,Dynamic_BAL_njobs200_mode0_L2_norm_flow_time,Dynamic_BAL_njobs200_mode0_maximum_flow_time,Dynamic_BAL_njobs200_mode1_L2_norm_flow_time,Dynamic_BAL_njobs200_mode1_maximum_flow_time,Dynamic_BAL_njobs200_mode2_L2_norm_flow_time,Dynamic_BAL_njobs200_mode2_maximum_flow_time,Dynamic_BAL_njobs200_mode4_L2_norm_flow_time,Dynamic_BAL_njobs200_mode4_maximum_flow_time,Dynamic_BAL_njobs200_mode8_L2_norm_flow_time,Dynamic_BAL_njobs200_mode8_maximum_flow_time,Dynamic_BAL_njobs200_mode16_L2_norm_flow_time,Dynamic_BAL_njobs200_mode16_maximum_flow_time
64,125059.867699,55909.000000,125059.867699,55909.000000,125059.867699,55909.000000,125059.867699,55909.000000,125059.867699,55909.000000,125059.867699,55909.000000
8,59098.767728,23021.000000,59098.767728,23021.000000,59098.767728,23021.000000,59098.767728,23021.000000,59098.767728,23021.000000,59098.767728,23021.000000
4,217733.186416,171981.000000,217733.186416,171981.000000,217733.186416,171981.000000,217733.186416,171981.000000,217733.186416,171981.000000,217733.186416,171981.000000
1024,195787.541598,114222.000000,195787.541598,114222.000000,195787.541598,114222.000000,195787.541598,114222.000000,195787.541598,114222.000000,195787.541598,114222.000000
128,161083.200561,65572.000000,161083.200561,65572.000000,161083.200561,65572.000000,161083.200561,65572.000000,161083.200561,65572.000000,161083.200561,65572.000000
16384,283408.240053,105808.000000,283408.240053,105808.000000,283408.240053,105808.000000,283408.240053,105808.000000,283408.240053,105808.000000,283408.240053,105808.000000
8192,290276.520129,112830.000000,290276.520129,112830.000000,290276.520129,112830.000000,290276.520129,112830.000000,290276.520129,112830.000000,290276.520129,112830.000000
65536,384049.695980,129574.000000,384049.695980,129574.000000,384049.695980,129574.000000,384049.695980,129574.000000,384049.695980,129574.000000,384049.695980,129574.000000
16,208994.359541,93447.000000,208994.359541,93447.000000,208994.359541,93447.000000,208994.359541,93447.000000,208994.359541,93447.000000,208994.359541,93447.000000
32,236760.273342,121712.000000,236760.273342,121712.000000,236760.273342,121712.000000,236760.273342,121712.000000,236760.273342,121712.000000,236760.273342,121712.000000
2048,346587.117574,190538.000000,346587.117574,190538.000000,346587.117574,190538.000000,346587.117574,190538.000000,346587.117574,190538.000000,346587.117574,190538.000000
4096,413706.788349,289698.000000,413706.788349,289698.000000,413706.788349,289698.000000,413706.788349,289698.000000,413706.788349,289698.000000,413706.788349,289698.000000
256,266802.721836,185405.000000,266802.721836,185405.000000,266802.721836,185405.000000,266802.721836,185405.000000,266802.721836,185405.000000,266802.721836,185405.000000
2,264618.530853,190429.000000,264618.530853,190429.000000,264618.530853,190429.000000,264618.530853,190429.000000,264618.530853,190429.000000,264618.530853,190429.000000
512,332392.648248,260330.000000,332392.648248,260330.000000,332392.648248,260330.000000,332392.648248,260330.000000,332392.648248,260330.000000,332392.648248,260330.000000
32768,300502.811897,206468.000000,300502.811897,206468.000000,300502.811897,206468.000000,300502.811897,206468.000000,300502.811897,206468.000000,300502.811897,206468.000000
