frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,107172170.95049201,2195234
4,337114.80510354333,157770
8,49377051.11498551,1163563
16,52175941.52712682,1217275
32,1210101.0525228875,508672
64,1253050.8177827427,628375
128,54534461.34296114,1197347
256,61918781.81029327,1376309
512,1863847.134412852,598107
1024,64841350.66358451,1383072
2048,47123590.677673735,1161214
4096,1313323.1026453467,337845
8192,41475146.27167435,1153120
16384,45627924.65304608,1227038
32768,26696140.843381934,1154785
65536,80058771.67875701,1765958
