frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,539091.9591090188,298237
4,52856390.79937808,1280437
8,49026638.63000228,1149193
16,97573302.95908141,1811259
32,691616.776199074,424813
64,53192353.23396809,1154817
128,52428259.42053314,1277551
256,57409723.1893,1254129
512,99172345.49438827,1835587
1024,49254093.75857815,1210431
2048,45577730.079548456,1204064
4096,50514094.47142866,1268684
8192,1741977.4653677354,396783
16384,4271077.93302288,411664
32768,767128.0527682455,501671
65536,25953950.839562036,1138610
