frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,88334277.74769099,1748848
4,95112470.75088573,1815752
8,86912407.0302973,1817783
16,739101.1420103476,316460
32,1521156.7331323882,629778
64,48073704.33591316,1165817
128,812821.1613140986,493835
256,87015228.26443055,1739506
512,93446536.72953738,1732247
1024,95768600.72232275,1747228
2048,64982949.24607439,1215302
4096,47145475.27464376,1179267
8192,89273028.28773208,1793387
16384,96138458.52628194,1715990
32768,89861783.84167863,1823726
65536,118045191.91814095,1764616
