frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,49118327.354046516,1153365
4,89626519.92327075,1781746
8,90774129.58440854,1731083
16,1346237.3047486837,590842
32,49702466.82905684,1155580
64,56144198.873553336,1231906
128,91517726.75033028,1813800
256,1178511.3186367792,579742
512,51035056.53463981,1212649
1024,90798092.31235342,1664410
2048,1217747.3517885392,472001
4096,2149412.1264931955,413456
8192,52046748.747497916,1199633
16384,85470519.20771459,1696961
32768,40392425.30342163,1286899
65536,109523889.84549548,1778126
