frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,48817783.67893252,1174943
4,479858.72544010286,226602
8,613998.3578251655,436362
16,50757056.963138856,1187655
32,91953913.86961305,1816568
64,47962719.611772634,1119236
128,52651223.339182355,1193995
256,92963161.71812272,1742023
512,92591176.19522461,1756197
1024,93361885.1523095,1865989
2048,93691354.6843933,1777017
4096,1162456.836965571,471945
8192,1018305.2043287415,336673
16384,255011.21753954276,96149
32768,691255.4352451777,304617
65536,45961492.56964852,1130600
