frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,84478310.12890817,1701640
4,370269.2852519636,176988
8,378124.32050848036,169465
16,94067819.67175822,1793900
32,96788810.64007777,1902862
64,196260.6061439738,68561
128,52367555.78066187,1175387
256,48571045.92759645,1140694
512,61571146.58825698,1404765
1024,87768769.99493594,1666352
2048,60904681.921349846,1271470
4096,93349882.65318401,1773423
8192,532927.9935188242,150567
16384,67058824.03294951,1182833
32768,87653522.50215481,1805214
65536,33393838.34829553,1222306
