frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,684429.1327427552,375955
4,47869457.40456449,1122804
8,49606946.92160418,1186040
16,449527.42350050237,259347
32,49463339.88862144,1145176
64,746362.4119481099,477177
128,48770662.649636105,1129662
256,95665331.20019686,1778542
512,987172.9717070864,495114
1024,50477872.214273535,1173887
2048,43799468.86091596,1125326
4096,1938596.6706009272,580389
8192,53751731.77589376,1295128
16384,70090072.84369212,1208698
32768,8271191.664163514,541867
65536,24358058.43589938,1355722
