frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,104409632.57457897,2011388
4,901293.8402136121,645478
8,91825829.96422498,1893650
16,104027978.97631593,1915670
32,2024099.6637547272,636867
64,1129293.7556849413,469594
128,89299786.59252174,1751689
256,92933140.59853837,1794021
512,96469934.40727706,1730091
1024,87512732.51602964,1587923
2048,55052247.595893785,1135400
4096,75733941.31557374,1617128
8192,1139164.7017960134,578074
16384,2877177.0116695985,594129
32768,646904.9186882103,546107
65536,800590.5320924049,460179
