frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,48328931.129869536,1118247
4,90362858.53370827,1740299
8,721480.7098363753,280051
16,96269568.54000679,1832815
32,47310930.528857306,1115818
64,98259933.25124101,1831760
128,1384017.4788238767,574967
256,51048681.6045087,1190215
512,58825761.738253355,1171430
1024,95804510.55488563,1768117
2048,1631811.506236857,601589
4096,1681742.5587856781,535276
8192,108946396.29107368,1779654
16384,38133943.31797098,1061346
32768,575697.7306269323,301419
65536,37381754.63247301,1150910
