frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,319919.0767194104,160793
4,46589006.95828171,1164826
8,48442640.1436032,1178522
16,50107659.256338514,1149603
32,759285.098075815,609986
64,88848862.44471902,1715167
128,50315823.94858599,1193482
256,97204809.4311715,1795827
512,91177398.13913645,1776470
1024,92739555.00658177,1836252
2048,88890767.2517644,1720864
4096,83318241.59683798,1821846
8192,50993209.985156916,1203613
16384,106129740.99824704,1813703
32768,123941284.29003827,1757846
65536,116843531.00540288,1825781
