frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,445424.027053,9376.000000,7833.951047
4,1873888.371222,46158.000000,2202.580305
8,386632.005013,14726.000000,4209.434998
16,2541788.520321,50656.000000,178755.352460
32,596056.152924,18201.000000,8713.610733
64,1915969.308570,30357.000000,103540.384614
128,933469.365460,16687.000000,94720.136898
256,1120818.212647,19539.000000,2382.668672
512,521939.181596,15531.000000,13924.878994
1024,1840143.109080,31251.000000,108363.793580
2048,1899934.332199,41178.000000,478785.071292
4096,1063938.248668,20393.000000,273100.839274
8192,1065509.771394,24057.000000,151660.689468
16384,3060847.889180,45218.000000,857673.049174
32768,1111159.305938,17591.000000,440317.407622
65536,3950307.586072,66866.000000,3238793.895196
