frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,1487633.997864,27982.000000,61514.889181
4,2559856.267123,50303.000000,10917.402805
8,769056.703714,15444.000000,746.017426
16,590841.393399,11813.000000,228.317761
32,831259.290629,18654.000000,11451.541599
64,1597805.768454,26306.000000,97907.866191
128,3878766.098137,75784.000000,234268.245110
256,1447713.993427,23676.000000,43078.841291
512,1951292.927896,33617.000000,38856.806598
1024,503239.308150,11517.000000,27275.665675
2048,2486615.570723,42571.000000,528567.728498
4096,509703.626872,10932.000000,111347.900362
8192,323109.318782,10594.000000,149991.580137
16384,1176215.402112,20290.000000,433484.687983
32768,2584936.836025,45937.000000,448471.007727
65536,789363.779669,16758.000000,501941.823490
