frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,2431282.380909,29664.000000,47324.996704
4,309609.585414,11685.000000,607.479218
8,1499026.908277,24386.000000,42446.880816
16,19458061.784693,233357.000000,8733.367335
32,15456286.803549,177326.000000,610236.282042
64,1916348.376604,34326.000000,118719.349649
128,270643.940363,9673.000000,19553.070296
256,1535533.733181,30442.000000,97459.741945
512,697234.958180,16468.000000,59853.323249
1024,2292653.039198,31584.000000,267712.727409
2048,2215056.347676,53728.000000,135180.913390
4096,1877344.361037,36017.000000,98518.177186
8192,1887397.276980,41113.000000,166450.620858
16384,2086727.775521,34522.000000,569523.723159
32768,5896726.625670,72259.000000,3260863.236736
65536,4442151.159246,73275.000000,1521233.283111
