frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,352489.586658,58042.000000,259.337618
4,561683.908574,118874.000000,223.255459
8,640492.017757,192864.000000,93.637599
16,336996.595429,195922.000000,316.047465
32,214607.117368,120492.000000,829.996386
64,561097.961402,305838.000000,4474.345539
128,373727.544663,136556.000000,1371.010941
256,177409.566940,96173.000000,1361.195430
512,364919.492897,216178.000000,1802.792833
1024,300442.001175,135223.000000,10213.903759
2048,315620.323601,72484.000000,13682.753488
4096,264488.050942,165913.000000,73906.956912
8192,165785.450592,53173.000000,31766.349680
16384,2715143.098971,142818.000000,9254.551151
32768,418795.520012,148880.000000,260472.440698
65536,372173.599547,196104.000000,334627.767188
