frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,284788.804687,173456.000000,988.638458
4,417598.121734,188732.000000,84.994117
8,425862.861992,150882.000000,617.601004
16,433725.599342,200559.000000,768.630600
32,437348.757610,160811.000000,1680.431790
64,983632.794591,298992.000000,299010.171093
128,481802.844337,266341.000000,3099.592715
256,510701.020519,273590.000000,4835.421181
512,487457.125112,258623.000000,64003.884242
1024,635904.858231,245473.000000,14532.769523
2048,593426.080178,225132.000000,26725.633051
4096,470444.027112,197555.000000,203590.009765
8192,771627.945433,255980.000000,244222.210171
16384,635722.464878,213146.000000,106753.297406
32768,1028874.904722,205092.000000,856083.476676
65536,685906.027437,244858.000000,578426.456768
