frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,289504.223670,178245.000000,441.190435
4,277954.481070,113178.000000,120.445008
8,222750.884871,150018.000000,1324.654672
16,284953.743866,138570.000000,1746.979393
32,368682.046715,253084.000000,791.894564
64,206547.647852,82362.000000,875.516419
128,714259.980466,266375.000000,478.752546
256,542137.120966,234913.000000,8610.548531
512,642684.757182,231550.000000,7120.886181
1024,757037.608861,244993.000000,4277.188212
2048,711753.204971,289486.000000,12706.508608
4096,411605.904359,237991.000000,56105.634904
8192,279069.436284,71222.000000,204291.798191
16384,1104467.290051,192768.000000,461700.890186
32768,2339999.842222,301443.000000,1958406.032520
65536,3046905.778804,206657.000000,2680855.745491
