frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,283469.313875,142194.000000,289.390739
4,298343.187222,123100.000000,291.413795
8,417806.589260,192811.000000,99.508794
16,206772.810877,118823.000000,726.693195
32,608060.665480,288756.000000,894.606059
64,542488.734119,296244.000000,406.371751
128,592491.766755,272956.000000,3642.306687
256,1115195.456073,280172.000000,3419.296858
512,984006.180133,268883.000000,14101.410851
1024,887610.442819,241397.000000,15345.116878
2048,1240859.511584,281745.000000,30065.397835
4096,231922.598774,80140.000000,20254.666598
8192,423526.956556,91941.000000,84131.050873
16384,1558478.621419,243784.000000,465091.354375
32768,1353498.380975,236111.000000,480036.857444
65536,785786.347392,269146.000000,0.000000
