frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,245961.062392,103791.000000,596.170278
4,598805.625643,62854.000000,58942.260238
8,92295.436837,20910.000000,1697.205645
16,162233.162760,54381.000000,50.477718
32,237123.846709,60286.000000,964.785987
64,432207.526938,239931.000000,2384.823683
128,3907427.531821,153278.000000,624.966399
256,352195.710789,145773.000000,63888.506815
512,265802.937185,133912.000000,51422.194090
1024,240667.586579,95744.000000,77859.015779
2048,320482.912053,60832.000000,19900.753704
4096,385183.912611,177357.000000,46966.302899
8192,430718.121711,137796.000000,21320.469202
16384,284340.759512,70568.000000,39552.027938
32768,257771.319006,118071.000000,145238.409844
65536,214586.824467,85808.000000,203174.054882
