frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,541637.677724,246458.000000,158.710428
4,415249.131057,255070.000000,541.117363
8,97976.068256,35839.000000,1097.515376
16,182618.187610,61045.000000,360.568995
32,121149.207661,56095.000000,127.062977
64,422135.474921,221625.000000,1350.681310
128,460900.982502,254901.000000,5142.360936
256,487020.382446,118937.000000,1088.683149
512,176432.947756,77817.000000,7153.213753
1024,168065.794970,97456.000000,7793.252659
2048,566987.824632,252773.000000,16295.686515
4096,863077.767904,300839.000000,79639.286825
8192,326765.574643,72730.000000,24211.813563
16384,670716.378132,210657.000000,443714.610672
32768,418143.325884,183218.000000,360518.056193
65536,594989.635715,139998.000000,446707.972188
