frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,6059794.847576,255319.000000,0.000000
4,6370170.475388,286136.000000,0.000000
8,3761734.422159,300536.000000,0.000000
16,3952773.579198,193478.000000,0.000000
32,6689997.291484,255082.000000,0.000000
64,6241416.956653,304965.000000,0.000000
128,6704565.746514,268584.000000,0.000000
256,7756962.405246,299715.000000,0.000000
512,8452120.981916,301060.000000,0.000000
1024,7831440.452543,288739.000000,0.000000
2048,9463195.482291,305211.000000,0.000000
4096,8053268.830745,289614.000000,0.000000
8192,8751639.627576,281278.000000,0.000000
16384,7354092.767518,246635.000000,0.000000
32768,1112494.021724,80762.000000,0.000000
65536,10346269.026902,305023.000000,0.000000
