frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,3169446.774791,291874.000000,112908.267487
4,2626178.689653,297134.000000,65.954530
8,5745937.074079,303685.000000,425.989436
16,6316719.537989,296643.000000,5591.361194
32,7086957.011037,303235.000000,222533.659297
64,7446154.529236,304355.000000,447980.551293
128,7460613.229002,302823.000000,449066.339816
256,8286589.273105,294361.000000,243341.062137
512,9186422.264470,304553.000000,1351625.393454
1024,8681165.657351,301896.000000,329930.121047
2048,8551142.597722,305329.000000,688568.120736
4096,7604733.391785,295674.000000,3208413.229175
8192,5800112.407179,199239.000000,3611322.720295
16384,9694017.133253,278023.000000,3752061.779280
32768,10739079.152011,277547.000000,4109950.595886
65536,2150019.517762,129926.000000,1395845.997365
