frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,6181430.329840,301850.000000,95499.009764
4,4250499.897686,279756.000000,61.302528
8,5899287.005864,301025.000000,828.704411
16,5582394.050959,292397.000000,617.683576
32,6041152.682435,304450.000000,394.865800
64,6764992.074103,280078.000000,101477.465154
128,7955604.670951,296169.000000,139184.340366
256,6686078.698180,291541.000000,821447.678311
512,8180138.887739,303702.000000,483077.870560
1024,8548808.403685,295485.000000,898849.187623
2048,7254370.129669,295753.000000,2199371.053031
4096,10051401.817422,304017.000000,3561992.694634
8192,3205388.020188,303776.000000,295925.446942
16384,10337290.400174,303745.000000,5197982.440571
32768,10013152.470432,302177.000000,1100906.780061
65536,8730291.409257,249277.000000,7699053.342610
