frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,4363861.051268,273922.000000,0.000000
4,4567374.831269,302017.000000,0.000000
8,5604915.676152,297560.000000,0.000000
16,4856786.519367,297774.000000,0.000000
32,7239296.711344,304286.000000,0.000000
64,6362665.816481,301304.000000,0.000000
128,6729179.950952,303460.000000,0.000000
256,6207026.943870,305033.000000,0.000000
512,6316102.784876,303793.000000,0.000000
1024,7686160.882937,288229.000000,0.000000
2048,6316919.668958,303250.000000,0.000000
4096,4933458.160054,217456.000000,0.000000
8192,5357811.046064,196706.000000,0.000000
16384,2499935.149291,96931.000000,0.000000
32768,6049651.018462,221746.000000,0.000000
65536,6403036.476232,244130.000000,0.000000
