frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,4867056.959877,303987.000000,146769.825707
4,4473859.821689,293919.000000,9254.984603
8,5518234.515613,291874.000000,30836.001330
16,4706985.770133,289123.000000,84811.324096
32,5978312.882778,288452.000000,43.428102
64,5296231.563983,294856.000000,15951.868323
128,5892020.218759,305905.000000,424529.750417
256,5633347.659405,297816.000000,480374.235627
512,5453379.361031,305861.000000,638241.282494
1024,8047751.145238,304819.000000,349188.774555
2048,7289924.923734,303470.000000,337951.003569
4096,6441381.308718,307763.000000,1537437.733003
8192,5644218.535617,306729.000000,3135763.894625
16384,5767421.645347,301474.000000,918426.496815
32768,10337533.861681,299603.000000,9024785.549139
65536,6326200.320582,193329.000000,6325916.765091
