frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,5217336.378791,285934.000000,0.000000
4,6569670.034018,282867.000000,0.000000
8,4294579.605840,277518.000000,0.000000
16,1998863.396607,289262.000000,0.000000
32,4611570.962970,295596.000000,0.000000
64,7132442.001401,294751.000000,0.000000
128,7081292.379305,295924.000000,0.000000
256,8553587.984557,306032.000000,0.000000
512,6189671.906120,269327.000000,0.000000
1024,6086325.051442,294706.000000,0.000000
2048,8138612.544188,298532.000000,0.000000
4096,7275432.851175,285187.000000,0.000000
8192,4720028.469360,229362.000000,0.000000
16384,7436577.855603,273605.000000,0.000000
32768,5539747.868714,214900.000000,0.000000
65536,7904532.651289,252450.000000,0.000000
