frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,4897333.981833,258669.000000,12474.067861
4,5831955.905437,306061.000000,2226.729889
8,5522541.089829,299009.000000,522.343757
16,4663714.598700,302351.000000,69.519781
32,5918644.018865,305187.000000,299305.510736
64,7311023.107520,305014.000000,88458.269026
128,7128804.856728,307253.000000,208723.911488
256,6048455.471250,303488.000000,457638.227806
512,7432228.879837,289256.000000,429611.349230
1024,5738097.272280,291822.000000,669313.638674
2048,7804905.405356,302950.000000,1176698.823004
4096,6753662.965550,290172.000000,357215.209014
8192,7197096.074092,306783.000000,1164040.669380
16384,8619330.509441,303269.000000,2065452.036378
32768,7082948.765499,244666.000000,3807659.554655
65536,2269559.634957,129524.000000,158308.295834
