Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
38,30.000000,6.000000,11798.768410,933.000000,11798.768410,933.000000,11798.768410,933.000000,11798.768410,933.000000,11798.768410,933.000000,11798.768410,933.000000
38,30.000000,18.000000,15179.373900,1665.000000,15179.373900,1665.000000,15179.373900,1665.000000,15179.373900,1665.000000,15179.373900,1665.000000,15179.373900,1665.000000
38,16.772000,64.000000,14448.403199,4556.000000,14448.403199,4556.000000,14448.403199,4556.000000,14448.403199,4556.000000,14448.403199,4556.000000,14448.403199,4556.000000
38,4.073000,262144.000000,158616.696375,13498.000000,158616.696375,13498.000000,158616.696375,13498.000000,158616.696375,13498.000000,158616.696375,13498.000000,158616.696375,13498.000000
38,5.649000,4096.000000,105809.588304,38002.000000,105809.588304,38002.000000,105809.588304,38002.000000,105809.588304,38002.000000,105809.588304,38002.000000,105809.588304,38002.000000
38,30.000000,15.000000,16834.709620,947.000000,16834.709620,947.000000,16834.709620,947.000000,16834.709620,947.000000,16834.709620,947.000000,16834.709620,947.000000
38,30.000000,9.000000,12740.689071,2255.000000,12740.689071,2255.000000,12740.689071,2255.000000,12740.689071,2255.000000,12740.689071,2255.000000,12740.689071,2255.000000
38,7.918000,512.000000,23335.816356,4901.000000,23335.816356,4901.000000,23335.816356,4901.000000,23335.816356,4901.000000,23335.816356,4901.000000,23335.816356,4901.000000
38,4.639000,32768.000000,111546.485574,15258.000000,111546.485574,15258.000000,111546.485574,15258.000000,111546.485574,15258.000000,111546.485574,15258.000000,111546.485574,15258.000000
38,30.000000,12.000000,14973.636566,1940.000000,14973.636566,1940.000000,14973.636566,1940.000000,14973.636566,1940.000000,14973.636566,1940.000000,14973.636566,1940.000000
