Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
30,30.000000,6.000000,144795.176125,144795.176125,144795.176125,144795.176125,144795.176125,144795.176125
30,4.073000,262144.000000,136960.288573,136960.288573,136960.288573,136960.288573,136960.288573,136960.288573
30,30.000000,15.000000,346817.185591,347079.532943,347079.532943,347080.569034,347080.569034,347079.532943
30,16.772000,64.000000,289953.811715,289953.811715,289953.811715,289953.811715,289953.811715,289953.811715
30,30.000000,9.000000,418551.544264,418551.544264,418551.544264,418551.544264,418551.544264,418551.544264
30,7.918000,512.000000,378095.228000,378084.848236,378084.848236,378084.848236,378084.848236,378084.848236
30,5.649000,4096.000000,251297.418747,251297.418747,251297.418747,251297.418747,251297.418747,251297.418747
30,30.000000,18.000000,447289.959378,450500.610155,450500.610155,450500.610155,450500.610155,450500.610155
30,30.000000,12.000000,510280.764291,510280.764291,510280.764291,510280.764291,510280.764291,510280.764291
30,4.639000,32768.000000,773970.481783,307862.461367,307862.461367,307862.461367,307862.461367,307862.461367
