Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
26,30.000000,15.000000,2385699.409258,42695.000000,2385699.409258,42695.000000,2385699.409258,42695.000000,2385699.409258,42695.000000,2385699.409258,42695.000000,2385699.409258,42695.000000
26,16.772000,64.000000,2546635.517816,44397.000000,2546635.517816,44397.000000,2546635.517816,44397.000000,2546635.517816,44397.000000,2546635.517816,44397.000000,2546635.517816,44397.000000
26,30.000000,18.000000,3000288.714705,53500.000000,3000288.714705,53500.000000,3000288.714705,53500.000000,3000288.714705,53500.000000,3000288.714705,53500.000000,3000288.714705,53500.000000
26,30.000000,6.000000,2441178.320421,40814.000000,2441178.320421,40814.000000,2441178.320421,40814.000000,2441178.320421,40814.000000,2441178.320421,40814.000000,2441178.320421,40814.000000
26,5.649000,4096.000000,638031.382782,256356.000000,638031.382782,256356.000000,638031.382782,256356.000000,638031.382782,256356.000000,638031.382782,256356.000000,638031.382782,256356.000000
26,4.639000,32768.000000,448286.774458,265499.000000,448286.774458,265499.000000,448286.774458,265499.000000,448286.774458,265499.000000,448286.774458,265499.000000,448286.774458,265499.000000
26,7.918000,512.000000,1733705.107927,297348.000000,1733705.107927,297348.000000,1733705.107927,297348.000000,1733705.107927,297348.000000,1733705.107927,297348.000000,1733705.107927,297348.000000
26,30.000000,12.000000,2591978.659469,47394.000000,2591978.659469,47394.000000,2591978.659469,47394.000000,2591978.659469,47394.000000,2591978.659469,47394.000000,2591978.659469,47394.000000
26,30.000000,9.000000,2841506.780132,47767.000000,2841506.780132,47767.000000,2841506.780132,47767.000000,2841506.780132,47767.000000,2841506.780132,47767.000000,2841506.780132,47767.000000
26,4.073000,262144.000000,652661.413758,363548.000000,652661.413758,363548.000000,652661.413758,363548.000000,652661.413758,363548.000000,652661.413758,363548.000000,652661.413758,363548.000000
