arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
20,4.639000,32768,891204.231408,891204.231408,891204.231408,891204.231408,891204.231408,891204.231408
20,4.073000,262144,654408.866976,654408.866976,654408.866976,654408.866976,654408.866976,654408.866976
20,5.649000,4096,1795608.595007,1757641.503344,1757641.503344,1757641.503344,1757641.503344,1757641.503344
20,7.918000,512,3530683.440269,3530683.440269,3530683.440269,3530683.440269,3530683.440269,3530683.440269
20,16.772000,64,6070564.946595,6079889.500473,6079889.500473,6079889.500473,6079604.373412,6079889.500473
20,30.000000,9,5629641.894442,5629641.894442,5629641.894442,5629641.894442,5629641.894442,5629641.894442
20,30.000000,12,6073909.684005,6073909.684005,6073909.684005,6073909.684005,6073909.684005,6073909.684005
20,30.000000,6,6100265.382490,6100265.382490,6100265.382490,6100265.382490,6100265.382490,6100265.382490
