Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
36,30.000000,12.000000,15608.535710,15598.174477,15598.174477,15598.174477,15598.174477,15598.174477
36,30.000000,6.000000,14925.535736,14925.535736,14925.535736,14925.535736,14925.535736,14925.535736
36,30.000000,15.000000,20293.360564,20286.434655,20286.434655,20286.434655,20286.434655,20286.434655
36,30.000000,9.000000,18781.928149,18781.928149,18781.928149,18781.928149,18781.928149,18781.928149
36,16.772000,64.000000,16623.116164,16513.189335,16513.189335,16513.189335,16547.853063,16513.189335
36,30.000000,18.000000,19006.223034,19000.274735,18944.089580,18941.829716,18948.754102,18944.089580
36,7.918000,512.000000,32291.213898,32239.671928,32239.671928,32239.671928,32239.671928,32239.671928
36,4.639000,32768.000000,58272.038947,58272.038947,58272.038947,58272.038947,58272.038947,58272.038947
36,5.649000,4096.000000,60371.790151,60289.868021,60289.868021,60289.868021,60289.868021,60289.868021
36,4.073000,262144.000000,119146.520830,119146.520830,119146.520830,119146.520830,119146.520830,119146.520830
