Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
24,5.649000,4096.000000,929705.960199,270627.000000,929705.960199,270627.000000,929705.960199,270627.000000,929705.960199,270627.000000,929705.960199,270627.000000,929705.960199,270627.000000
24,4.639000,32768.000000,591930.013139,271879.000000,591930.013139,271879.000000,591930.013139,271879.000000,591930.013139,271879.000000,591930.013139,271879.000000,591930.013139,271879.000000
24,4.073000,262144.000000,305321.888663,166733.000000,305321.888663,166733.000000,305321.888663,166733.000000,305321.888663,166733.000000,305321.888663,166733.000000,305321.888663,166733.000000
24,30.000000,12.000000,3704407.464610,64392.000000,3704407.464610,64392.000000,3704407.464610,64392.000000,3704407.464610,64392.000000,3704407.464610,64392.000000,3704407.464610,64392.000000
24,7.918000,512.000000,2826005.669341,304577.000000,2826005.669341,304577.000000,2826005.669341,304577.000000,2826005.669341,304577.000000,2826005.669341,304577.000000,2826005.669341,304577.000000
24,30.000000,18.000000,3831183.363716,67692.000000,3831183.363716,67692.000000,3831183.363716,67692.000000,3831183.363716,67692.000000,3831183.363716,67692.000000,3831183.363716,67692.000000
24,16.772000,64.000000,3586331.482466,63851.000000,3586331.482466,63851.000000,3586331.482466,63851.000000,3586331.482466,63851.000000,3586331.482466,63851.000000,3586331.482466,63851.000000
24,30.000000,15.000000,3949346.743308,69079.000000,3949346.743308,69079.000000,3949346.743308,69079.000000,3949346.743308,69079.000000,3949346.743308,69079.000000,3949346.743308,69079.000000
24,30.000000,9.000000,3747483.254580,66078.000000,3747483.254580,66078.000000,3747483.254580,66078.000000,3747483.254580,66078.000000,3747483.254580,66078.000000,3747483.254580,66078.000000
24,30.000000,6.000000,3802448.513467,64600.000000,3802448.513467,64600.000000,3802448.513467,64600.000000,3802448.513467,64600.000000,3802448.513467,64600.000000,3802448.513467,64600.000000
