Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
32,30.000000,6.000000,45727.847446,45727.847446,45727.847446,45727.847446,45727.847446,45727.847446
32,30.000000,15.000000,55736.057575,55706.365552,55706.365552,55706.365552,55706.365552,55706.365552
32,16.772000,64.000000,39741.626892,39741.626892,39741.626892,39741.626892,39741.626892,39741.626892
32,30.000000,9.000000,64656.316660,64656.316660,64656.316660,64656.316660,64656.316660,64656.316660
32,30.000000,18.000000,114090.793787,113838.280574,113704.498900,113712.474588,113715.583615,113704.894231
32,30.000000,12.000000,45016.524755,44980.083782,44980.083782,44980.083782,44991.780305,44980.083782
32,4.639000,32768.000000,82358.980482,79544.380279,79544.380279,79544.380279,79544.380279,79544.380279
32,7.918000,512.000000,128030.002800,129138.221077,129138.221077,129138.221077,129138.221077,129138.221077
32,5.649000,4096.000000,162451.098941,160442.607159,160442.607159,160442.607159,160442.607159,160442.607159
32,4.073000,262144.000000,1516046.308536,460300.193119,460300.193119,460300.193119,460300.193119,460300.193119
