Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
24,4.073000,262144.000000,345520.817962,215771.000000,345520.817962,215771.000000,345520.817962,215771.000000,345520.817962,215771.000000,345520.817962,215771.000000,345520.817962,215771.000000
24,4.639000,32768.000000,503281.736915,196470.000000,503281.736915,196470.000000,503281.736915,196470.000000,503281.736915,196470.000000,503281.736915,196470.000000,503281.736915,196470.000000
24,5.649000,4096.000000,1016728.654670,258263.000000,1016728.654670,258263.000000,1016728.654670,258263.000000,1016728.654670,258263.000000,1016728.654670,258263.000000,1016728.654670,258263.000000
24,7.918000,512.000000,2516157.777547,288512.000000,2516157.777547,288512.000000,2516157.777547,288512.000000,2516157.777547,288512.000000,2516157.777547,288512.000000,2516157.777547,288512.000000
24,30.000000,12.000000,3843579.799793,66626.000000,3843579.799793,66626.000000,3843579.799793,66626.000000,3843579.799793,66626.000000,3843579.799793,66626.000000,3843579.799793,66626.000000
24,30.000000,15.000000,3492665.858539,62264.000000,3492665.858539,62264.000000,3492665.858539,62264.000000,3492665.858539,62264.000000,3492665.858539,62264.000000,3492665.858539,62264.000000
24,30.000000,18.000000,3891297.140097,68149.000000,3891297.140097,68149.000000,3891297.140097,68149.000000,3891297.140097,68149.000000,3891297.140097,68149.000000,3891297.140097,68149.000000
24,30.000000,9.000000,4055359.548476,68858.000000,4055359.548476,68858.000000,4055359.548476,68858.000000,4055359.548476,68858.000000,4055359.548476,68858.000000,4055359.548476,68858.000000
24,16.772000,64.000000,3744201.320233,66542.000000,3744201.320233,66542.000000,3744201.320233,66542.000000,3744201.320233,66542.000000,3744201.320233,66542.000000,3744201.320233,66542.000000
24,30.000000,6.000000,3627098.318885,64856.000000,3627098.318885,64856.000000,3627098.318885,64856.000000,3627098.318885,64856.000000,3627098.318885,64856.000000,3627098.318885,64856.000000
